http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web/		GET				HTTP/1.1																			w3af.org				/web/
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/ewb		GET				HTTP/1.1																			w3af.org				/ewb
*/*	gzip, deflate																keep-alive		0	0	application/x-www-form-urlencoded						192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			w3af.org				/web
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/		OPTIONS				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/_vti_inf.html		GET				HTTP/1.1																			w3af.org				/_vti_inf.html
*/*	gzip, deflate																keep-alive		107	107	application/xml; charset="utf-8"						192.168.1.104															1	http://192.168.1.104/		PROPFIND				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive		135	135	application/xml; charset="utf-8"						192.168.1.104															1	http://192.168.1.104/		SEARCH				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive		6	6	text/plain						192.168.1.104															1	http://192.168.1.104/LqMcK		PUT				HTTP/1.1																			w3af.org				/LqMcK
*/*	gzip, deflate																keep-alive		0	0	application/x-www-form-urlencoded						192.168.1.104															1	http://192.168.1.104/		TRACE				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web?Z9AD0wB=dymov26		GET				HTTP/1.1																			w3af.org				/web?Z9AD0wB=dymov26
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web?=PHPE9568F36-D428-11d2-A769-00AA001ACF42		GET				HTTP/1.1																			w3af.org				/web?=PHPE9568F36-D428-11d2-A769-00AA001ACF42
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web?=PHPE9568F35-D428-11d2-A769-00AA001ACF42		GET				HTTP/1.1																			w3af.org				/web?=PHPE9568F35-D428-11d2-A769-00AA001ACF42
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web?=PHPE9568F34-D428-11d2-A769-00AA001ACF42		GET				HTTP/1.1																			w3af.org				/web?=PHPE9568F34-D428-11d2-A769-00AA001ACF42
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000		GET				HTTP/1.1																			w3af.org				/web?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000
*/*	gzip, deflate																keep-alive										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																cbmJPEryEnRAaReOJCvQDfRZBqqFcwWyAVaYFMVsQkNSlWrpfXECFXejyoioorlsCLmiVoOJgcOSyGoflWWwuipmURqcxBXNzSKkGMAVRsHmGqryUxmSgETqcQqZtsSlTvYZvCJAMAHkAnbObRezDQymklgxSUGrLTlQtoHHmiRSUHecEUNxPGadPnNmtdCRGHAXnsyVXPAlrTMUjWTbSDXTuAJWCxhxWIwrEPRRjdxFeVhtOtXZtGGenmvZPEsEZYwAJgoFwacXRZYccOyAlkEVMuziNGsLKfwNWwMkBMucooeuVOcwbNoUNSkLobJoCsZTGTnwyoBgBbgdkjeiVAbFQKRUicXAuHwywOhMVwXlCVrInMjsdYhKYoeNWcuWhvJINCDoCSpLHAiXwhpPTOndaqtFsuJjnzHOEnMaIADnPcaZUSYoRpGpqLYZcUhtnPwfQuWLocPZcanmxvjNazhISgEnHdDZaMmYPnMslggNINxAkWWkOMUlXSNrbJleEEuktfKuMmpqmTrGhKxOpcqKmHETLugEXKDOrwaDUJPcIDkVZryqLxsBPstVOVDxLdoQvuTFaMqxWqGStpzxeQRayTAHFwGvKSDSBzxyJddceEGTUOASuoKCrpkqMzmwlFUlSYErwqyaWrmooLqKEkviGhngmhJsGRgFIWDIoSKxoAhYAmrtRmCTRYKDTnwmnbCpPyACiqqHnjsNNrDzFTpPpSCXXpFwSIkhQvjDiPysJRxMHNVPQWFGeDUpgWVLYNADvOXfzEVkOzJdiZajjqSFEwZFroFeaYTLkHQouIibDLLBUNMNjfsgQPssfmhEEMLeOAFICSVEWqfWhgkCnQOHjxCBSdVJkzVRLYSxXnBSIUbQOGOAsDJGTLouYkxdqPBcoAXKUtufMPVCCdUPOChheCcUdeSfXZOYIKPhWRHycbCbqzaZKOWZKTeyuYCbNJchzTzuoudrGrIQZiuGQXNIMgIntFXptmjCUxznnGuCUuvKTtUzMxwHOJpXCIkby			w3af.org				/web
*/*	gzip, deflate																keep-alive										iDoNotExistPleaseGoAwayNowOrDie4PnS.com															1	http://iDoNotExistPleaseGoAwayNowOrDie4PnS.com/		GET				HTTP/1.1																			w3af.org				/
																																										1			OPTIONS				HTTP/1.0																			None				/
																																										1			OPTIONS				HTTP/1.0																			None				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
																																										1			GET				HTTP/1.0																			None				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
																																										1			GET				HTTP/1.0																			None				/asdfg.hjkl
																																										1			TRACE				HTTP/1.0																			None				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
																																										1			GET				HTTP/1.0																			None				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
																																										1			GET				HTTP/1.0																			None				/
*/*	gzip, deflate																keep-alive										iDoNotExistPleaseGoAwayNowOrDieWXrm.192.168.1.104															1	http://iDoNotExistPleaseGoAwayNowOrDieWXrm.192.168.1.104/		GET				HTTP/1.1																			w3af.org				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
qwer/asdf																																										1			GET				HTTP/1.0																			None				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
*/*	gzip, deflate																keep-alive										extra															1	http://extra/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										old															1	http://old/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										new															1	http://new/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										test1															1	http://test1/		GET				HTTP/1.1																			w3af.org				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
*/*	gzip, deflate																keep-alive										admin															1	http://admin/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										adm															1	http://adm/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										test															1	http://test/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										extranet															1	http://extranet/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										intra															1	http://intra/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										intranet															1	http://intranet/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										webmail															1	http://webmail/		GET				HTTP/1.1																			w3af.org				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, */*	gzip,deflate	en-us,en;q=0.5									no-cache						keep-alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.7) Gecko/20050414 Firefox/1.0.3				/
*/*	gzip, deflate																keep-alive										console															1	http://console/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										mail															1	http://mail/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										services															1	http://services/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										apps															1	http://apps/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										webservice									109						1	http://webservice/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										ws									95						1	http://ws/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										corporate															1	http://corporate/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										hidden									742						1	http://hidden/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										secure									11						1	http://secure/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										private									230						1	http://private/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										secure															1	http://secure/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										safe									745						1	http://safe/		GET				HTTP/1.1																			w3af.org				/
*/*	gzip, deflate																keep-alive										public									210						1	http://public/		GET				HTTP/1.1																			w3af.org				/
