http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
*/*	gzip, deflate																										192.168.1.104														http://192.168.1.104/web	1	http://192.168.1.104/web/233befe.html		GET				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)				/web/233befe.html
*/*	gzip, deflate																										192.168.1.104														http://192.168.1.104/web	1	http://192.168.1.104/web/robots.txt		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)				/web/robots.txt
*/*	gzip, deflate																										192.168.1.104									30					http://192.168.1.104/web	1	http://192.168.1.104/web/fantastico_fileslist.txt		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)				/web/fantastico_fileslist.txt
*/*	gzip, deflate																										192.168.1.104									31					http://192.168.1.104/web	1	http://192.168.1.104/web/searchreplacedb2.php		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)				/web/searchreplacedb2.php
*/*	gzip, deflate																		32	32	application/x-www-form-urlencoded						192.168.1.104									32					http://192.168.1.104/web	1	http://192.168.1.104/web/xmlrpc.php		POST				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)				/web/xmlrpc.php
*/*	gzip, deflate																										192.168.1.104														http://192.168.1.104/web	1	http://192.168.1.104/web/readme.html		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)				/web/readme.html
*/*	gzip, deflate																										192.168.1.104									40					http://192.168.1.104/web	1	http://192.168.1.104/web/readme.html		GET				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)				/web/readme.html
*/*	gzip, deflate																										192.168.1.104									41					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-content/debug.log		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)				/web/wp-content/debug.log
*/*	gzip, deflate																										192.168.1.104									45					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-includes/rss-functions.php		GET				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)				/web/wp-includes/rss-functions.php
*/*	gzip, deflate																										192.168.1.104									46					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-content/backup-db/		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)				/web/wp-content/backup-db/
*/*	gzip, deflate																										192.168.1.104									47					http://192.168.1.104/web	1	http://192.168.1.104/web/installer-log.txt		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)				/web/installer-log.txt
*/*	gzip, deflate																										192.168.1.104									48					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-signup.php		GET				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)				/web/wp-signup.php
*/*	gzip, deflate																										192.168.1.104									50					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-content/mu-plugins/		GET				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)				/web/wp-content/mu-plugins/
*/*	gzip, deflate																										192.168.1.104									51					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-login.php?action=register		GET				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)				/web/wp-login.php?action=register
*/*	gzip, deflate																										192.168.1.104									69					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-login.php?registration=disabled		GET				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/wp-login.php?registration=disabled
*/*	gzip, deflate																										192.168.1.104									70					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-content/uploads/		GET				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/wp-content/uploads/
*/*	gzip, deflate																										192.168.1.104									74					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-content/uploads/tmm_db_migrate/tmm_db_migrate.zip		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/wp-content/uploads/tmm_db_migrate/tmm_db_migrate.zip
*/*	gzip, deflate																										192.168.1.104									76					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-content/uploads/dump.sql		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/wp-content/uploads/dump.sql
*/*	gzip, deflate																										192.168.1.104									77					http://192.168.1.104/web	1	http://192.168.1.104/web/emergency.php		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/emergency.php
*/*	gzip, deflate																										192.168.1.104									78					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-cron.php		GET				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/wp-cron.php
*/*	gzip, deflate																										192.168.1.104									79					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-includes/version.php		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/wp-includes/version.php
*/*	gzip, deflate																										192.168.1.104									80					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-includes/version.php		GET				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/wp-includes/version.php
*/*	gzip, deflate																										192.168.1.104									82					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-content/themes/twentytwentytwo/style.css?ver=1.0		GET				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/wp-content/themes/twentytwentytwo/style.css?ver=1.0
*/*	gzip, deflate																										192.168.1.104									84					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-content/themes/twentytwentytwo/style.css		GET				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/wp-content/themes/twentytwentytwo/style.css
*/*	gzip, deflate																										192.168.1.104									87					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-content/themes/twentytwentytwo/readme.txt		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/wp-content/themes/twentytwentytwo/readme.txt
*/*	gzip, deflate																										192.168.1.104									91					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-content/themes/twentytwentytwo/		GET				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/wp-content/themes/twentytwentytwo/
*/*	gzip, deflate																										192.168.1.104									93					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-content/themes/twentytwentytwo/error_log		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/wp-content/themes/twentytwentytwo/error_log
*/*	gzip, deflate																										192.168.1.104														http://192.168.1.104/web	1	http://192.168.1.104/web/.wp-config.php.swp		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/.wp-config.php.swp
*/*	gzip, deflate																										192.168.1.104														http://192.168.1.104/web	1	http://192.168.1.104/web/.wp-config.php.swo		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/.wp-config.php.swo
*/*	gzip, deflate																										192.168.1.104														http://192.168.1.104/web	1	http://192.168.1.104/web/backup.wp-config.php		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/backup.wp-config.php
*/*	gzip, deflate																										192.168.1.104														http://192.168.1.104/web	1	http://192.168.1.104/web/.wp-config.swp		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/.wp-config.swp
*/*	gzip, deflate																										192.168.1.104														http://192.168.1.104/web	1	http://192.168.1.104/web/%23wp-config.php%23		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/%23wp-config.php%23
*/*	gzip, deflate																										192.168.1.104									109					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-config		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/wp-config
*/*	gzip, deflate																										192.168.1.104									108					http://192.168.1.104/web	1	http://192.168.1.104/web/wp-config%20-%20Copy.php		HEAD				HTTP/1.1																			WPScan v3.8.17 (https://wpscan.com/wordpress-security-scanner)			wordpress_test_cookie=WP+Cookie+check	/web/wp-config%20-%20Copy.php
