http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
*/*	gzip, deflate																keep-alive		120198	120198	application/json						172.16.17.3															1	http://172.16.17.3/web		POST				HTTP/1.1																			python-requests/2.27.1				/web
*/*	gzip, deflate																keep-alive										172.16.17.3									656693						1	http://172.16.17.3/web/		GET				HTTP/1.1																			python-requests/2.27.1				/web/
*/*	gzip, deflate																keep-alive		82244	82244	application/json						172.16.17.3															1	http://172.16.17.3/web		POST				HTTP/1.1																			python-requests/2.27.1				/web
*/*	gzip, deflate																keep-alive										172.16.17.3									657098						1	http://172.16.17.3/web/		GET				HTTP/1.1																			python-requests/2.27.1				/web/
*/*	gzip, deflate																keep-alive		124800	124800	application/json						172.16.17.3															1	http://172.16.17.3/web		POST				HTTP/1.1																			python-requests/2.27.1				/web
*/*	gzip, deflate																keep-alive										172.16.17.3									659222						1	http://172.16.17.3/web/		GET				HTTP/1.1																			python-requests/2.27.1				/web/
*/*	gzip, deflate																keep-alive		119816	119816	application/json						172.16.17.3															1	http://172.16.17.3/web		POST				HTTP/1.1																			python-requests/2.27.1				/web
*/*	gzip, deflate																keep-alive										172.16.17.3									659314						1	http://172.16.17.3/web/		GET				HTTP/1.1																			python-requests/2.27.1				/web/
*/*	gzip, deflate																keep-alive		42175	42175	application/json						172.16.17.3															1	http://172.16.17.3/web		POST				HTTP/1.1																			python-requests/2.27.1				/web
*/*	gzip, deflate																keep-alive										172.16.17.3									659409						1	http://172.16.17.3/web/		GET				HTTP/1.1																			python-requests/2.27.1				/web/
*/*	gzip, deflate																keep-alive		5170	5170	application/json						172.16.17.3															1	http://172.16.17.3/web		POST				HTTP/1.1																			python-requests/2.27.1				/web
*/*	gzip, deflate																keep-alive										172.16.17.3									659736						1	http://172.16.17.3/web/		GET				HTTP/1.1																			python-requests/2.27.1				/web/
