http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
*/*																	Keep-Alive										192.168.1.104															1	http://192.168.1.104/web/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/
*/*																											192.168.1.104															1	http://192.168.1.104/web/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/
*/*																											192.168.1.104															1	http://192.168.1.104/web/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/
*/*																											192.168.1.104															1	http://192.168.1.104/web/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/
																											192.168.1.104									54						1	http://192.168.1.104/web/pagina-ejemplo/		HEAD				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/pagina-ejemplo/
																											192.168.1.104									92						1	http://192.168.1.104/web/2022/02/02/hola-mundo/		HEAD				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/2022/02/02/hola-mundo/
*/*																											192.168.1.104									57						1	http://192.168.1.104/web/pagina-ejemplo/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/pagina-ejemplo/
																											192.168.1.104									94						1	http://192.168.1.104/web/2022/02/02/hola-mundo/		HEAD				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/2022/02/02/hola-mundo/
*/*																											192.168.1.104															1	http://192.168.1.104/web/2022/02/02/hola-mundo/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/2022/02/02/hola-mundo/
																											192.168.1.104									96						1	http://192.168.1.104/web/wp-includes/blocks/navigation/view.min.js		HEAD				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/wp-includes/blocks/navigation/view.min.js
*/*																			115	115	application/x-www-form-urlencoded						192.168.1.104									117						1	http://192.168.1.104/web/wp-comments-post.php		POST				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/wp-comments-post.php
*/*																			115	115	application/x-www-form-urlencoded						192.168.1.104									138						1	http://192.168.1.104/web/wp-comments-post.php		POST				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/wp-comments-post.php
*/*																			250	250	application/x-www-form-urlencoded						192.168.1.104									142						1	http://192.168.1.104/web/wp-comments-post.php		POST				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/wp-comments-post.php
*/*																			169	169	application/x-www-form-urlencoded						192.168.1.104									146						1	http://192.168.1.104/web/wp-comments-post.php		POST				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/wp-comments-post.php
*/*																			213	213	application/x-www-form-urlencoded						192.168.1.104									149						1	http://192.168.1.104/web/wp-comments-post.php		POST				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/wp-comments-post.php
*/*																			260	260	application/x-www-form-urlencoded						192.168.1.104									152						1	http://192.168.1.104/web/wp-comments-post.php		POST				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/wp-comments-post.php
*/*																			179	179	application/x-www-form-urlencoded						192.168.1.104									155						1	http://192.168.1.104/web/wp-comments-post.php		POST				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/wp-comments-post.php
*/*																			181	181	application/x-www-form-urlencoded						192.168.1.104									158						1	http://192.168.1.104/web/wp-comments-post.php		POST				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/wp-comments-post.php
*/*																			179	179	application/x-www-form-urlencoded						192.168.1.104									161						1	http://192.168.1.104/web/wp-comments-post.php		POST				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/wp-comments-post.php
*/*																			181	181	application/x-www-form-urlencoded						192.168.1.104									164						1	http://192.168.1.104/web/wp-comments-post.php		POST				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WebCruiser/3.5)				/web/wp-comments-post.php
