http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
																											192.168.1.106															1	http://192.168.1.106/web		GET				HTTP/1.1																							/web
																											192.168.1.106															1	http://192.168.1.106/web		GET				HTTP/1.1																							/web
																											192.168.1.106									4						1	http://192.168.1.106/web		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/web
																											192.168.1.106															1	http://192.168.1.106/web		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/web
																											192.168.1.106									10						1	http://192.168.1.106/should_not_xist_ppppppppppppp		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/should_not_xist_ppppppppppppp
																											192.168.1.106									12						1	http://192.168.1.106/web		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/web
																											192.168.1.106									14						1	http://192.168.1.106/echo%201889409%2b1889409%3b		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/echo%201889409%2b1889409%3b
																											192.168.1.106									15						1	http://192.168.1.106/echo%201889409%2b1889409%3b%23		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/echo%201889409%2b1889409%3b%23
																											192.168.1.106									16						1	http://192.168.1.106/%3becho%201889409%2b1889409%3b		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/%3becho%201889409%2b1889409%3b
																											192.168.1.106									18						1	http://192.168.1.106/%3becho%201889409%2b1889409%3b%23		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/%3becho%201889409%2b1889409%3b%23
																											192.168.1.106									19						1	http://192.168.1.106/'%3becho%201889409%2b1889409%3b		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/'%3becho%201889409%2b1889409%3b
																											192.168.1.106									20						1	http://192.168.1.106/'%3becho%201889409%2b1889409%3b%23		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/'%3becho%201889409%2b1889409%3b%23
																											192.168.1.106									21						1	http://192.168.1.106/%22%3becho%201889409%2b1889409%3b		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/%22%3becho%201889409%2b1889409%3b
																											192.168.1.106									22						1	http://192.168.1.106/%22%3becho%201889409%2b1889409%3b%23		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/%22%3becho%201889409%2b1889409%3b%23
																											192.168.1.106									23						1	http://192.168.1.106/print%201889409%2b1889409%3b		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/print%201889409%2b1889409%3b
																											192.168.1.106									24						1	http://192.168.1.106/print%201889409%2b1889409%3b%23		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/print%201889409%2b1889409%3b%23
																											192.168.1.106									25						1	http://192.168.1.106/%3bprint%201889409%2b1889409%3b		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/%3bprint%201889409%2b1889409%3b
																											192.168.1.106									27						1	http://192.168.1.106/%3bprint%201889409%2b1889409%3b%23		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/%3bprint%201889409%2b1889409%3b%23
																											192.168.1.106									28						1	http://192.168.1.106/'%3bprint%201889409%2b1889409%3b		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/'%3bprint%201889409%2b1889409%3b
																											192.168.1.106									29						1	http://192.168.1.106/'%3bprint%201889409%2b1889409%3b%23		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/'%3bprint%201889409%2b1889409%3b%23
																											192.168.1.106									30						1	http://192.168.1.106/%22%3bprint%201889409%2b1889409%3b		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/%22%3bprint%201889409%2b1889409%3b
																											192.168.1.106									31						1	http://192.168.1.106/%22%3bprint%201889409%2b1889409%3b%23		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/%22%3bprint%201889409%2b1889409%3b%23
																											192.168.1.106									32						1	http://192.168.1.106/print%201889409%2b1889409		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/print%201889409%2b1889409
																											192.168.1.106									33						1	http://192.168.1.106/print%201889409%2b1889409%23		GET				HTTP/1.1																			Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)				/print%201889409%2b1889409%23
