http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
																	Keep-Alive										192.168.1.104															1	http://192.168.1.104/web/192.168.1.war		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/192.168.1.war
																	Keep-Alive										192.168.1.104									19						1	http://192.168.1.104/web/1921681104.alz		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1921681104.alz
																	Keep-Alive										192.168.1.104									38						1	http://192.168.1.104/web/1921681104.alz		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1921681104.alz
																	Keep-Alive										192.168.1.104									57						1	http://192.168.1.104/web/1921681104.tgz		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1921681104.tgz
																	Keep-Alive										192.168.1.104									76						1	http://192.168.1.104/web/1921681104.tgz		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1921681104.tgz
																	Keep-Alive										192.168.1.104									95						1	http://192.168.1.104/web/192.168.1.sql		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/192.168.1.sql
																	Keep-Alive										192.168.1.104									114						1	http://192.168.1.104/web/192.168.1.sql		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/192.168.1.sql
																	Keep-Alive										192.168.1.104									133						1	http://192.168.1.104/web/192_168_1_104.tar.lzma		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/192_168_1_104.tar.lzma
																	Keep-Alive										192.168.1.104									152						1	http://192.168.1.104/web/192_168_1_104.tar.lzma		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/192_168_1_104.tar.lzma
																	Keep-Alive										192.168.1.104									172						1	http://192.168.1.104/web/192_168_1_104.tgz		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/192_168_1_104.tgz
																	Keep-Alive										192.168.1.104									191						1	http://192.168.1.104/web/192_168_1_104.tgz		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/192_168_1_104.tgz
																	Keep-Alive										192.168.1.104									210						1	http://192.168.1.104/web/1921681.alz		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1921681.alz
																	Keep-Alive										192.168.1.104									229						1	http://192.168.1.104/web/1921681.alz		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1921681.alz
																	Keep-Alive										192.168.1.104									253						1	http://192.168.1.104/web/1921681104.sql		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1921681104.sql
																	Keep-Alive										192.168.1.104									272						1	http://192.168.1.104/web/1921681104.sql		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1921681104.sql
																	Keep-Alive										192.168.1.104									291						1	http://192.168.1.104/web/168.jks		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/168.jks
																	Keep-Alive										192.168.1.104									310						1	http://192.168.1.104/web/168.jks		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/168.jks
																	Keep-Alive										192.168.1.104									329						1	http://192.168.1.104/web/1.tar		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1.tar
																	Keep-Alive										192.168.1.104									348						1	http://192.168.1.104/web/1.tar		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1.tar
																	Keep-Alive										192.168.1.104									367						1	http://192.168.1.104/web/192168.tar.bz2		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/192168.tar.bz2
																	Keep-Alive										192.168.1.104									386						1	http://192.168.1.104/web/192168.tar.bz2		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/192168.tar.bz2
																	Keep-Alive										192.168.1.104									405						1	http://192.168.1.104/web/1921681.cer		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1921681.cer
																	Keep-Alive										192.168.1.104									424						1	http://192.168.1.104/web/1921681.cer		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1921681.cer
																	Keep-Alive										192.168.1.104									443						1	http://192.168.1.104/web/1921681.war		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1921681.war
																	Keep-Alive										192.168.1.104									462						1	http://192.168.1.104/web/1921681.war		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1921681.war
																	Keep-Alive										192.168.1.104									481						1	http://192.168.1.104/web/192168.tar		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/192168.tar
																	Keep-Alive										192.168.1.104									500						1	http://192.168.1.104/web/192168.tar		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/192168.tar
																	Keep-Alive										192.168.1.104									519						1	http://192.168.1.104/web/104.jks		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/104.jks
																	Keep-Alive										192.168.1.104									538						1	http://192.168.1.104/web/104.jks		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/104.jks
																	Keep-Alive										192.168.1.104									557						1	http://192.168.1.104/web/site.tar		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/site.tar
																	Keep-Alive										192.168.1.104									576						1	http://192.168.1.104/web/site.tar		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/site.tar
																	Keep-Alive										192.168.1.104									595						1	http://192.168.1.104/web/192.168.1.cer		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/192.168.1.cer
																	Keep-Alive										192.168.1.104									614						1	http://192.168.1.104/web/192.168.1.cer		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/192.168.1.cer
																	Keep-Alive										192.168.1.104									633						1	http://192.168.1.104/web/1921681.egg		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1921681.egg
																	Keep-Alive										192.168.1.104									652						1	http://192.168.1.104/web/1921681.egg		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1921681.egg
																	Keep-Alive										192.168.1.104									671						1	http://192.168.1.104/web/1.pem		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1.pem
																	Keep-Alive										192.168.1.104									690						1	http://192.168.1.104/web/1.pem		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:sitefiles)				/web/1.pem
