http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
																	Keep-Alive										192.168.1.101															1	http://192.168.1.101/		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:Port Check)				/
																	Keep-Alive										192.168.1.101									4						1	http://192.168.1.101/web/		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:getinfo)				/web/
																	Keep-Alive										192.168.1.101									6						1	http://192.168.1.101/web/		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:map_codes)				/web/
																	Keep-Alive										192.168.1.101									10						1	http://192.168.1.101/web/e7p2XeiK.bat|dir		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:map_codes)				/web/e7p2XeiK.bat|dir
																	Keep-Alive										192.168.1.101									14						1	http://192.168.1.101/web/e7p2XeiK.chl+		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:map_codes)				/web/e7p2XeiK.chl+
																	Keep-Alive										192.168.1.101									16						1	http://192.168.1.101/web/e7p2XeiK.htm		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:map_codes)				/web/e7p2XeiK.htm
																	Keep-Alive										192.168.1.101									18						1	http://192.168.1.101/web/e7p2XeiK.xml		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:map_codes)				/web/e7p2XeiK.xml
																	Keep-Alive										192.168.1.101									20						1	http://192.168.1.101/web/e7p2XeiK		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:map_codes)				/web/e7p2XeiK
																	Keep-Alive										192.168.1.101									22						1	http://192.168.1.101/web/e7p2XeiK/		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:map_codes)				/web/e7p2XeiK/
																	Keep-Alive										192.168.1.101									24						1	http://192.168.1.101/web/e7p2XeiK.asp		GET				HTTP/1.1																			Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:map_codes)				/web/e7p2XeiK.asp
