http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
																																										1			GET				HTTP/1.0																							/
																																										1			GET				HTTP/1.0																							/images
																	close										192.168.1.104															1	http://192.168.1.104/		HEAD				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/
																	close										192.168.1.104															1	http://192.168.1.104/nmaplowercheck1645204843		GET				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/nmaplowercheck1645204843
																	close										192.168.1.104															1	http://192.168.1.104/xmldata?item=all		GET				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/xmldata?item=all
																	close										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/
																	close										192.168.1.104															1	http://192.168.1.104/nmaplowercheck1645204847		GET				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/nmaplowercheck1645204847
																	close										192.168.1.104															1	http://192.168.1.104/server-status		GET				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/server-status
																	close										192.168.1.104															1	http://192.168.1.104/		OPTIONS				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/
																	close										192.168.1.104															1	http://192.168.1.104/		OPTIONS				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/
																	close										192.168.1.104															1	http://192.168.1.104/stats		GET				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/stats
																	close		441	441							192.168.1.104															1	http://192.168.1.104/sdk		POST				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/sdk
																	close										192.168.1.104															1	http://192.168.1.104/		PROPFIND				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/
																	keep-alive										192.168.1.104															1	http://192.168.1.104/admin/views/ajax/autocomplete/user/a		GET				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/admin/views/ajax/autocomplete/user/a
																	close		232	232	text/xml						192.168.1.104															1	http://192.168.1.104/scripts/WPnBr.dll		POST				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/scripts/WPnBr.dll
																	close										192.168.1.104															1	http://192.168.1.104/robots.txt		GET				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/robots.txt
																	close		337	337	text/xml						192.168.1.104															1	http://192.168.1.104/scripts/WPnBr.dll		POST				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/scripts/WPnBr.dll
