http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
																																										1			GET				HTTP/1.0																							/
																																										1			GET				HTTP/1.0																							/
																																										1			GET				HTTP/1.0																							/images
																	close										192.168.1.104															1	http://192.168.1.104/		TRACE				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/
																	close										192.168.1.104															1	http://192.168.1.104/sdk/../../../../../..//etc/vmware/hostd/vmInventory.xml		GET				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/sdk/../../../../../..//etc/vmware/hostd/vmInventory.xml
																	close										192.168.1.104															1	http://192.168.1.104/index.php/wp-json/wp/v2/posts/		GET				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/index.php/wp-json/wp/v2/posts/
																	close										192.168.1.104															1	http://192.168.1.104/		HEAD				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/
																	close		52	52							192.168.1.104															1	http://192.168.1.104/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input		POST				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input
																	close										192.168.1.104															1	http://192.168.1.104/iuaszvwssomliyvefjhc.htm		GET				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/iuaszvwssomliyvefjhc.htm
																	close										192.168.1.104															1	http://192.168.1.104/help/../../etc/shadow		GET				HTTP/1.1																			Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)				/help/../../etc/shadow
