http.accept	http.accept_encoding	http.accept_language	http.authbasic	http.authcitrix	http.authcitrix.domain	http.authcitrix.password	http.authcitrix.session	http.authcitrix.user	http.authorization	http.bad_header_name	http.cache_control	http.chat	http.chunk_boundary	http.chunk_size	http.chunkd_and_length	http.chunked_trailer_part	http.connection	http.content_encoding	http.content_length	http.content_length_header	http.content_type	http.cookie_pair	http.date	http.decompression_disabled	http.decompression_failed	http.file_data	http.host	http.http2_settings	http.http2_settings_uri	http.last_modified	http.leading_crlf	http.location	http.next_request_in	http.next_response_in	http.notification	http.prev_request_in	http.proxy_authenticate	http.proxy_authorization	http.proxy_connect_host	http.proxy_connect_port	http.referer	http.request	http.request.full_uri	http.request.line	http.request.method	http.request.uri.path	http.request.uri.query	http.request.uri.query.parameter	http.request.version	http.request_in	http.request_number	http.sec_websocket_accept	http.sec_websocket_extensions	http.sec_websocket_key	http.sec_websocket_protocol	http.sec_websocket_version	http.server	http.set_cookie	http.ssl_port	http.subdissector_failed	http.te_and_length	http.te_unknown	http.time	http.tls_port	http.transfer_encoding	http.unknown_header	http.upgrade	http.user_agent	http.www_authenticate	http.x_forwarded_for	http.cookie	http.request.uri
																	Keep-Alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 [en] (X11, U; OpenVAS-VT 21.4.3)				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*		en									no-cache						Keep-Alive										192.168.1.104															1	http://192.168.1.104/		GET				HTTP/1.1																			Mozilla/5.0 [en] (X11, U; OpenVAS-VT 21.4.3)				/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*		en									no-cache						Keep-Alive										192.168.1.104									13						1	http://192.168.1.104/general/information.html?kind=item		GET				HTTP/1.1																			Mozilla/5.0 [en] (X11, U; OpenVAS-VT 21.4.3)				/general/information.html?kind=item
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*		en									no-cache						Keep-Alive										192.168.1.104									17						1	http://192.168.1.104/WebConfig/		GET				HTTP/1.1																			Mozilla/5.0 [en] (X11, U; OpenVAS-VT 21.4.3)				/WebConfig/
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*		en									no-cache						Keep-Alive										192.168.1.104									19						1	http://192.168.1.104/wcd/top.xml		GET				HTTP/1.1																			Mozilla/5.0 [en] (X11, U; OpenVAS-VT 21.4.3)				/wcd/top.xml
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*		en									no-cache						Keep-Alive										192.168.1.104									20						1	http://192.168.1.104/wcd/system.xml		GET				HTTP/1.1																			Mozilla/5.0 [en] (X11, U; OpenVAS-VT 21.4.3)				/wcd/system.xml
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*		en									no-cache						Keep-Alive										192.168.1.104									22						1	http://192.168.1.104/wcd/system_device.xml		GET				HTTP/1.1																			Mozilla/5.0 [en] (X11, U; OpenVAS-VT 21.4.3)				/wcd/system_device.xml
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*		en									no-cache						Keep-Alive										192.168.1.104									23						1	http://192.168.1.104/info_deviceStatus.html		GET				HTTP/1.1																			Mozilla/5.0 [en] (X11, U; OpenVAS-VT 21.4.3)				/info_deviceStatus.html
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*		en									no-cache						Keep-Alive										192.168.1.104									25						1	http://192.168.1.104/hp/device/SignIn/Index		GET				HTTP/1.1																			Mozilla/5.0 [en] (X11, U; OpenVAS-VT 21.4.3)				/hp/device/SignIn/Index
image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*		en									no-cache						Keep-Alive										192.168.1.104									26						1	http://192.168.1.104/DevMgmt/ProductConfigDyn.xml		GET				HTTP/1.1																			Mozilla/5.0 [en] (X11, U; OpenVAS-VT 21.4.3)				/DevMgmt/ProductConfigDyn.xml
